82.158.88.33 - - [11/Oct/2019:08:03:47 +0200] "GET /login HTTP/1.1" 302 452 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
82.158.88.33 - - [11/Oct/2019:08:03:48 +0200] "GET /main_page HTTP/1.1" 200 4091 "https://kibotics.org/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36"
157.55.39.86 - - [11/Oct/2019:08:09:37 +0200] "GET / HTTP/1.1" 200 14312 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.165 - - [11/Oct/2019:08:20:28 +0200] "GET / HTTP/1.1" 200 14312 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
46.119.121.179 - - [11/Oct/2019:08:23:41 +0200] "GET / HTTP/1.1" 301 509 "https://ukrtvory.in.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.1"
46.119.121.179 - - [11/Oct/2019:08:23:41 +0200] "GET / HTTP/1.1" 301 509 "https://ukrtvory.in.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.1"
46.119.121.179 - - [11/Oct/2019:08:23:42 +0200] "GET / HTTP/1.1" 301 509 "https://ukrtvory.in.ua/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.1"
37.134.202.38 - - [11/Oct/2019:08:30:03 +0200] "GET / HTTP/1.1" 200 13875 "-" "python-requests/2.12.4"
37.134.202.38 - - [11/Oct/2019:08:30:04 +0200] "\n" 400 3245 "-" "-"
37.134.202.38 - - [11/Oct/2019:08:30:04 +0200] "\n" 400 3245 "-" "-"
